Upstream Regulators,8_vs_0,72_vs_8,120_vs_72,128_vs_120,144_vs_128,168_vs_144
ARVib-31,N/A,N/A,3.13,-3.162,1.414,-2.183
BSG,-2.198,-2.402,-0.297,2.927,-1.293,-0.767
CDK6,-1.342,-2.711,0.218,2.111,-1.353,-2.144
IKZF1,1.915,-0.663,-1.114,-2.644,1.908,1.629
NR5A2,-2.573,-1.473,0.947,2.425,-1.248,-1.206
pyridostatin,N/A,N/A,3.351,N/A,3.873,2.646
SN-011,N/A,N/A,-3.729,N/A,-3.606,-2.53
HIC1,1,-1.083,-2.009,-2.135,1.499,2.121
NSUN6,-2,-1.604,-1.4,2.887,-1.414,-0.535
NFAT5,-1.71,-1.785,-2.596,3.181,-0.217,-0.349
dalfampridine,-2.828,N/A,2.621,1.408,-2.967,N/A
MAP2K4,-1.751,-1.053,1.16,2.753,-1.729,-1.376
IRF7,N/A,N/A,1.936,N/A,4.656,3.228
tributyrin,-1.195,-2.034,1.895,2.138,-2.345,-0.196
IRGM,N/A,-2.236,-1.953,N/A,-3.02,-2.578
IL1,-2.384,-1.65,N/A,3.436,-2.317,N/A
pyrrolidine dithiocarbamate,2.437,2.206,N/A,-3.101,N/A,2.042
NTRK1,1.112,2.707,2.031,-1.418,-0.968,-1.547
lactic acid,-0.883,-1.865,-0.109,2.63,-1.615,-2.68
HMGA1,-2.211,-2.398,1.101,1.159,-1.024,-1.879
"N-[N-(3,5-difluorophenacetyl-L-Ala)]-S-phenylglycine t-butyl ester",2.965,2.38,-0.617,-2.222,-0.988,0.593
ABCB4,2.234,N/A,0.392,-2.626,2.429,2.082
BRD4,-1.709,-1.467,-1.016,3.357,-0.702,1.51
EIF2AK2,-1.151,N/A,3.383,2.158,2.365,0.687
verteporfin,1.132,2.13,1.159,-2.449,2.6,-0.27
AKT1,-2.032,-1.61,-0.837,2.637,-1.196,-1.406
IFNL1,N/A,N/A,3.326,N/A,3.814,2.578
NCOR2,0.806,-1.555,-1.861,-1.085,2.767,1.633
KITLG,-1.96,-1.483,-0.431,2.494,-1.42,-1.919
E. coli B4 lipopolysaccharide,-2.735,-2.535,0.455,2.966,-1.015,N/A
EP300,-2.727,-1.234,0.022,3.415,-1.915,-0.389
KDM5B,-0.314,1.006,2.455,-1.931,0.402,-3.592
LDL,-1.693,-2.03,-1.538,2.577,-0.853,1.005
Irgm1,N/A,1.913,-0.281,-1.667,-2.657,-3.177
salmonella minnesota R595 lipopolysaccharides,-3.403,-2.009,-0.22,3.541,0.318,0.203
fingolimod,1.98,1.799,1.588,-3.229,N/A,1.095
SAMSN1,-2.236,-2.496,1.3,2.121,1,-0.535
SNAI2,-2.184,-0.665,-1.997,1.253,-1.765,-1.823
fatty acid,-2.165,-1.507,N/A,2.573,-2.19,-1.25
RC3H2,N/A,2.795,N/A,-2.236,2.236,2.414
SETD2,2.2,-0.384,-1.725,-1.622,1.151,2.596
ID3,-0.97,-2.365,-3.08,1.115,0.46,1.687
SMURF2,1.964,1.48,-0.893,-2.547,0.816,1.977
MDK,-1.964,-2.414,-1.171,2.414,-0.816,0.896
4-hydroxynonenal,-1.956,-1.932,N/A,1.975,-1.955,-1.839
STIM1,-2.236,N/A,1.54,2.345,-1.195,-2.331
PTPN3,-1.525,-2.795,0.23,2.967,-0.447,-1.671
SOX11,-2.433,1.815,-0.189,0.588,-1.253,-3.348
NB73,N/A,2.111,1.706,N/A,-2.646,-3.162
mifepristone,2.385,2.192,-0.256,-1.873,1.18,1.725
NAMPT,-1.976,-0.246,0.561,2.63,-1.46,-2.734
SPDEF,2.186,1.291,-0.209,-2.646,1.117,2.138
"1,4-bis[2-(3,5-dichloropyridyloxy)]benzene",-0.751,-1.517,-2.757,2.736,-0.158,1.659
tyrphostin AG 1478,2.274,2.411,N/A,-2.797,2.093,N/A
ECSIT,-2.213,-1.953,1.168,2.183,-1.664,-0.391
RNASEH2B,1,1.89,-2.515,N/A,-2.605,-1.551
pimagedine,1.698,2.425,-0.701,-2.63,1.51,0.588
MAP3K8,-2.369,-2.538,-0.288,3.002,-1.049,0.286
apigenin,2.586,-0.264,-1.273,-1.977,0.761,2.661
STAT6,-2.028,-0.521,-1.033,3.21,-1.303,-1.408
dinoprost,-2.556,0.399,1.005,2.429,-1.313,-1.796
MAP4K4,N/A,0.874,-3.935,N/A,2.621,2.068
FLCN,1,1.551,1.902,-2.333,2.509,-0.197
HNF4A,1.334,2.686,-1.153,-2.099,-2.008,0.209
TGFB2,-2.308,-0.715,1.541,2.054,-0.84,-2.011
miR-199a-3p (and other miRNAs w/seed CAGUAGU),1.963,0.994,0.715,-3.259,-0.287,2.236
THZ2,2.236,2.236,2.138,-2.828,0,N/A
SPHK1,-1.864,-2.78,1.296,2.348,-0.97,-0.177
losartan potassium,2.138,1.741,0.242,-2.84,0.848,1.618
FOXF1,-2.224,-2.356,-1.735,2.429,N/A,-0.663
budesonide,0.69,-0.394,-2.819,-1.347,1.138,3.019
PRKG1,2.213,1.664,0,-2.138,0.762,2.621
IFNAR1,-0.83,N/A,2.107,1.112,3.54,1.808
MYBL2,N/A,-1.722,-3.827,1.565,-0.349,1.929
PML,1.523,-0.785,1.995,-0.684,2.441,1.958
alpha-ketoglutaramate,2.2,-0.42,0.691,-1.667,2.433,1.964
palbociclib,-1.714,0.422,3.758,1.289,-0.692,-1.497
TLR4,-3.1,N/A,0.601,3.129,-1.611,-0.93
PAK1,-2.602,-1.274,0.382,2.588,-0.697,-1.815
EPO,-2.002,0.094,1.363,1.792,-2.226,-1.853
formaldehyde,-2.646,N/A,2.561,2.449,-1.667,N/A
Y 27632,1.423,2.47,0.603,-3.065,1.229,0.529
lipoteichoic acid,N/A,-1.902,-2.222,2.607,-2.584,N/A
MYC,-1.128,-1.8,-0.846,2.825,0.287,2.426
PKD1,1.795,1.444,0.289,-2.42,-0.356,2.999
SLC15A4,N/A,-2.408,-0.288,3.208,2.242,1.155
PRKCA,-1.892,1.254,1.157,1.606,-2.271,-1.097
SB 216763,-2.412,-0.479,0.611,2.377,-1.467,-1.929
STK11,2.731,-0.923,1.313,-1.041,2.337,0.924
GATA1,-0.894,1.697,1.594,1.065,-1.06,-2.953
TPH1,N/A,-2.882,-2.142,2.63,N/A,1.604
